,City,City_Id,Latitude,Temperature,Cloud_Index,Humidity,Wind
503,boguchany,1509844,58.38,23.35,64,74,9.66
504,tongren,1792592,27.72,31.5,92,99,8.14
505,maralal,187725,1.1,54.13,24,89,2.21
506,choix,4014109,26.71,72.45,0,41,2.21
507,lufilufi,4035249,-13.87,91.4,40,66,8.05
508,weihai,1791673,37.5,36.72,24,100,12.91
509,oyem,2396646,1.6,70.11,80,99,2.28
510,balagansk,2027198,54.01,-12.43,12,56,2.55
511,sangar,2017215,63.92,-22.15,8,31,6.58
512,verkhniy fiagdon,475003,42.83,14.58,76,95,1.1
513,ust-nera,2120048,64.57,-58.15,0,0,1.72
514,summerville,4597919,33.02,64.4,90,82,8.05
515,whitecourt,6180285,54.14,6.8,75,71,9.17
516,kieta,2094027,-6.22,85.18,12,83,7.02
517,segou,2252081,12.41,76.0,0,30,7.76
518,anadyr,2127202,64.73,30.2,20,86,29.08
519,hirosaki,2130057,40.61,33.8,75,63,20.8
520,am timan,245338,11.04,73.35,0,29,11.34
521,tokat,738743,40.33,19.4,90,100,4.7
522,heihe,2036973,50.24,17.6,0,48,6.71
523,velyka lepetykha,690247,47.18,28.3,68,88,6.31
524,kasongo-lunda,2315026,-6.48,67.63,92,100,2.89
525,bayshore gardens,4146934,27.43,73.4,1,83,8.05
526,lososina,2123688,49.0,18.09,0,80,11.16
527,svetlogorsk,584051,53.14,21.2,90,79,8.95
528,lezajsk,766332,50.26,37.4,0,88,5.82
529,yuzhno-kurilsk,2119447,44.03,27.18,76,100,16.64
530,dalmau,1273637,26.08,54.99,8,94,7.09
531,pucallpa,3693345,-8.38,35.6,75,331,9.17
532,osoyoos,6094665,49.03,35.6,75,64,2.1
533,manbij,167357,36.53,41.0,0,93,2.89
534,glenwood springs,5423092,39.55,28.4,90,84,5.57
535,san rafael,3836669,-34.61,86.04,0,25,9.37
536,gonzalez,3681990,8.39,75.87,20,57,1.88
537,xining,1788852,36.62,6.93,68,80,2.73
538,taltal,3870243,-25.41,63.85,0,79,2.39
539,mount isa,2065594,-20.73,87.8,0,33,10.29
540,duldurga,2024812,50.67,6.57,0,50,7.09
