,City,City_Id,Latitude,Temperature,Cloud_Index,Humidity,Wind
113,matagami,2335713,9.67,64.35,0,39,8.32
114,kuldur,2021370,49.22,12.96,0,79,5.75
115,lagoa,2267254,37.14,55.4,0,87,10.29
116,beni,219057,0.49,62.19,8,91,1.21
117,cootamundra,2170430,-34.64,78.07,0,71,4.56
118,llano marin,3705691,8.5,84.06,8,64,9.82
119,nanga eboko,2225457,4.68,67.45,0,92,3.62
120,ostrovnoy,556268,68.05,26.77,92,90,10.89
121,strelka,1490805,58.08,20.79,80,75,9.04
122,tsiroanomandidy,1054463,-18.77,62.37,56,99,2.84
123,torbay,6167817,47.66,28.4,90,100,34.45
124,port alfred,964432,-33.59,70.83,92,99,10.33
125,waingapu,1622318,-9.65,77.85,0,98,4.23
126,saint george,262462,39.45,30.2,0,86,2.73
127,nuuk,3421319,64.17,17.6,24,67,13.87
128,broome,2656067,52.47,51.8,0,87,8.05
129,segovia,3109256,40.95,37.4,0,69,5.82
130,oregon city,5744253,45.36,44.6,90,81,8.05
131,los llanos de aridane,2514651,28.66,62.6,20,63,6.93
132,new norfolk,2155415,-42.78,66.2,40,63,10.29
133,erzin,296852,36.95,48.2,0,93,4.7
134,ancud,3899695,-41.87,67.14,68,82,0.76
135,bethel,5880568,60.79,30.2,1,79,5.82
136,mujiayingzi,2035707,42.12,0.45,0,58,3.06
137,constitucion,4011743,23.99,86.0,5,7,19.46
138,chany,1508458,55.31,18.22,88,84,7.92
139,aleksandrov gay,583345,50.14,28.8,44,94,12.39
140,berlevag,780687,70.86,29.65,88,100,25.21
141,turukhansk,1488903,65.8,4.45,56,77,4.07
142,coquimbo,3893629,-29.95,66.2,0,68,10.29
143,saint-pierre,2995603,48.95,42.8,0,75,6.93
144,antofagasta,3899539,-23.65,69.8,0,64,12.75
145,nanakuli,5851349,21.39,77.0,75,57,5.82
146,chumphon,1153557,10.5,71.6,20,100,3.36
147,shimoda,1852357,34.7,46.4,75,45,11.41
148,avarua,4035715,-21.21,84.2,92,70,3.36
149,itarema,3393692,-2.92,77.49,44,95,4.52
150,flinders,6255012,-34.58,78.8,0,50,8.05
151,awash,343134,8.99,65.34,0,77,4.74
152,the valley,3573374,18.22,78.8,40,78,10.29
153,caravelas,3466980,-17.73,83.07,68,100,19.55
154,surt,2210554,31.21,52.6,92,100,16.98
155,namibe,3347019,-15.19,73.89,0,100,10.94
156,lebu,344979,8.96,45.09,0,91,3.33
157,kilindoni,157429,-7.91,82.57,0,100,10.56
158,victoria,1733782,5.28,78.8,75,94,0.31
159,codrington,2160063,-28.95,82.4,80,54,5.82
160,quatre cocos,1106643,-20.21,80.6,75,78,8.05
161,mitsamiouli,921786,-11.38,79.47,76,100,5.35
162,ferrol,3123493,43.48,55.4,0,62,12.75
163,port elizabeth,4501427,39.31,41.0,1,44,5.82
164,uwajima,1926020,33.22,41.0,40,80,8.05
165,tasiilaq,3424607,65.61,17.6,88,85,26.4
166,kaitangata,2208248,-46.28,62.1,32,57,13.69
167,hasaki,2112802,35.73,39.2,75,44,9.17
168,cockburn town,3576994,21.46,78.39,0,99,7.31
169,jutai,3388869,-1.71,75.69,80,98,3.11
170,slave lake,6149374,55.28,3.2,75,77,9.17
171,yar-sale,1486321,66.83,-9.64,56,68,14.14
172,chokurdakh,2126123,70.62,-39.38,36,83,3.78
173,sorland,3137469,67.67,39.6,20,100,24.65
174,sola,3137942,58.89,44.6,90,93,9.17
175,taoudenni,2450173,22.68,64.71,0,24,13.4
176,grand-santi,3381538,4.27,81.09,0,59,4.74
177,katangli,2122783,51.71,13.9,68,100,12.12
178,mahebourg,934322,-20.41,80.6,75,78,8.05
179,mitu,117392,36.2,21.55,24,93,3.22
180,caconda,3351380,-13.73,68.67,0,45,8.32
181,kosonsoy,1513714,41.25,41.0,44,56,4.7
